,Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,Male:,,,,,,,,,,,,,,,,,,Female:,,,,,,,,,,,,,,,,,
,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,
Label,,,,,,,,,,,,,,,,,,,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"65,113",,"81,860","65,509","78,941","55,355","60,829","102,624","50,528","67,628","71,096","53,531",,"60,847","55,226","47,963","56,390","56,753","83,939",,"89,132","79,367","97,759","70,005","72,358","104,924","61,759","96,566","85,457","62,741",,"85,559","61,760","51,641","67,073","71,304","54,762",,"65,853","52,451","60,188","51,497","50,377","76,805","37,362","61,860","59,547","52,138",,"58,462","43,969","46,101","49,550","47,860"
Margin of Error,"±1,336",,"±7,077","±6,390","±12,385","±5,199","±3,885","±3,131","±21,109","±3,178","±2,793","±1,920",,"±3,545","±6,778","±2,438","±4,635","±2,955","±2,747",,"±5,228","±10,297","±6,259","±13,084","±11,956","±7,470","±22,188","±7,138","±5,863","±6,708",,"±34,366","±8,622","±7,347","±13,297","±3,405","±1,812",,"±12,999","±6,962","±5,458","±2,875","±5,742","±17,691","±12,803","±1,950","±3,346","±1,340",,"±8,982","±9,084","±4,537","±3,749","±3,051"
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"75,887",,"81,438","76,393","77,446","88,331","75,909","94,391","85,159","78,810","90,790","70,318",,"51,000","65,720","51,670","61,443","71,243","90,668",,"84,709","94,716","70,891","103,645","116,476","101,451","110,080","82,177","99,139","92,013",,"69,327","70,789","51,923","61,765","90,243","67,091",,"33,813","62,078","88,368","86,152","66,146","52,285","85,123","76,090","72,651","61,505",,"43,924","36,884","49,882","55,227","60,270"
Margin of Error,"±3,025",,"±12,308","±8,311","±25,002","±9,959","±8,543","±16,188","±17,079","±7,751","±10,435","±8,572",,"±25,517","±11,817","±15,197","±12,770","±7,807","±6,472",,"±16,952","±19,992","±18,822","±37,067","±37,374","±16,825","±86,247","±22,171","±12,160","±21,474",,"±28,542","±7,195","±19,818","±15,989","±26,854","±4,262",,"±7,238","±10,273","±22,652","±18,192","±13,013","±50,515","±20,214","±8,843","±12,590","±13,733",,"±12,288","±7,970","±32,132","±26,845","±16,468"
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"74,658",,"94,102","77,120","86,708","60,915","70,738","102,379","58,417","79,041","83,556","55,623",,"62,990","63,668","54,059","70,967","68,492","91,425",,"101,499","83,277","98,141","79,624","86,748","108,089","82,039","97,291","99,033","62,439",,"73,859","72,144","69,416","73,738","82,650","61,386",,"73,172","74,407","77,972","56,674","60,554","81,465","50,845","72,244","69,617","53,882",,"58,715","49,510","48,220","66,729","55,591"
Margin of Error,"±1,769",,"±7,625","±5,644","±13,854","±2,446","±5,051","±3,544","±6,546","±4,277","±3,668","±1,497",,"±4,588","±7,647","±3,894","±1,927","±4,378","±1,682",,"±9,368","±7,910","±11,547","±8,527","±10,338","±6,260","±25,688","±7,814","±4,851","±5,998",,"±14,424","±5,912","±9,621","±9,437","±8,161",±792,,"±15,563","±7,174","±16,102","±3,196","±3,829","±9,621","±9,353","±3,034","±4,187","±1,712",,"±3,706","±3,995","±6,494","±6,748","±3,139"
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"62,104",,"84,841","62,422","61,420","55,153","60,059","96,426","58,906","71,149","72,477","51,494",,"50,223","56,954","51,389","60,777","57,239","75,580",,"88,882","70,769","97,929","66,094","64,773","100,866","60,688","79,834","87,251","60,010",,"63,279","65,817","55,186","61,742","71,226","55,135",,"62,025","53,955","50,420","49,962","56,046","67,467","50,545","68,846","62,271","50,298",,"45,975","45,810","46,894","59,942","42,577"
